[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.domene.uttak.fastsetteperioder.validering.EndringerHarBegrunnelseValideringTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.domene.uttak.fastsettuttaksgrunnlag.fp.OppgittPeriodeUtilTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.økonomi.økonomistøtte.dagytelse.fp.FinnOppdragslinje150FomSisteOpphørTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.domene.iay.modell.OpptjeningsnøkkelTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.domene.uttak.fastsettuttaksgrunnlag.fp.PeriodeSplitterMotHøyreTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.familiehendelse.dødsfall.BarnetsDødsdatoEndringIdentifisererTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.familiehendelse.dødsfall.ForelderErDødEndringIdentifisererTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.ytelse.beregning.tilbaketrekk.TilbaketrekkVedTilkommetArbeidsforholdTjenesteTest
[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.domene.arbeidsforhold.svp.FinnAktivitetsavtalerForUtbetalingsgradTest
[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.domene.personopplysning.PersonAdresseEndringIdentifisererTest
[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.domene.uttak.fastsetteperioder.validering.BareSplittetPerioderValideringTest
[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.tilganger.TilgangerTjenesteTest
[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.økonomi.behandlingslager.økonomioppdrag.Oppdragsenhet120EntityTest
[INFO] Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.ytelse.beregning.tilbaketrekk.VurderBehovForÅHindreTilbaketrekkTest
[WARNING] Tests run: 1, Failures: 0, Errors: 0, Skipped: 1, Time elapsed: 0.001 s - in no.nav.foreldrepenger.behandling.steg.inngangsvilkår.auto.InngangsvilkårAutoTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s - in no.nav.foreldrepenger.behandling.steg.foreslåvedtak.ForeslåVedtakStegImplTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s - in no.nav.foreldrepenger.datavarehus.domene.BehandlingStegDvhEntityTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s - in no.nav.foreldrepenger.datavarehus.tjeneste.BehandlingVedtakDvhMapperTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s - in no.nav.foreldrepenger.datavarehus.tjeneste.FagsakDvhMapperTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s - in no.nav.foreldrepenger.historikk.HistorikkInnslagTekstBuilderTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s - in no.nav.foreldrepenger.web.app.tjenester.behandling.søknad.BekreftSøkersOpplysningspliktManuellOppdatererTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s - in no.nav.foreldrepenger.web.app.tjenester.behandling.søknad.SøknadsfristVilkårOppdatererTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s - in no.nav.foreldrepenger.ytelse.beregning.regler.RegelFastsettBeregningsresultatDocTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s - in no.nav.foreldrepenger.behandlingskontroll.FagsakYtelseTypeRefTest
